name,salary_from,salary_to,salary_currency,area_name,published_at
Торговый представитель (г. Абаза - с. Шира),60000.0,,RUR,Абаза,2022-12-25T05:51:44+0300
Медицинская сестра процедурная/Медицинский брат процедурный,30000.0,35000.0,RUR,Красноярск,2022-12-25T05:35:59+0300
Плотник,100000.0,,RUR,Михайловка (Иркутская область),2022-12-25T04:35:29+0300
Слесарь-сантехник,100000.0,,RUR,Железнодорожный (Иркутская область),2022-12-25T04:35:32+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Кемерово,2022-12-25T04:35:14+0300
"Торговый представитель (п. Большая Мурта, Зелёная Роща, Северный, Солнечный )",,80000.0,RUR,Красноярск,2022-12-25T05:51:44+0300
"Оператор терминала сбора данных гипермаркета Аллея, г. Иркутск",22000.0,25000.0,RUR,Иркутск,2022-12-25T04:35:37+0300
Мерчендайзер (Сети),,25000.0,RUR,Красноярск,2022-12-25T05:51:44+0300
Менеджер по продажам,35000.0,100000.0,RUR,Казань,2022-12-25T01:37:25+0300
Психолог,27000.0,,RUR,Черемхово,2022-12-25T05:36:25+0300
Каменщик,100000.0,,RUR,Усолье-Сибирское,2022-12-25T04:35:33+0300
Плотник,100000.0,,RUR,Средний,2022-12-25T04:35:29+0300
Каменщик,100000.0,,RUR,Култук,2022-12-25T04:35:34+0300
Оператор печатных машин в оперативной полиграфии/дизайнер,30000.0,,RUR,Омск,2022-12-25T04:14:41+0300
"Контролер материалов, металлов и полуфабрикатов и изделий (поток)",30000.0,60000.0,RUR,Кемерово,2022-12-25T05:35:54+0300
Оператор 1С (складской комплекс),35000.0,35000.0,RUR,Иркутск,2022-12-25T05:10:47+0300
Монтажник,100000.0,,RUR,Железнодорожный (Иркутская область),2022-12-25T04:35:31+0300
Торговый представитель (г. Абаза - с. Шира),60000.0,,RUR,Шира,2022-12-25T05:51:44+0300
Музыкальный руководитель,19000.0,30000.0,RUR,Средний,2022-12-25T04:35:34+0300
Стажер UX/UI-дизайнер,15000.0,,RUR,Санкт-Петербург,2022-12-25T10:51:56+0300
Сотрудник военной полиции,32000.0,,RUR,Белгород,2022-12-25T11:24:03+0300
Администратор салона цветов,36000.0,46000.0,RUR,Екатеринбург,2022-12-25T11:22:09+0300
Водитель выездной службы,50000.0,80000.0,RUR,Москва,2022-12-25T11:42:39+0300
Региональный представитель по продаже техники,1500.0,5000.0,BYR,Гродно,2022-12-25T08:24:21+0300
Повар-универсал(Шеф-Повар/Су-Шеф),200000.0,500000.0,KZT,Астана,2022-12-25T10:04:07+0300
Руководитель проектов,200000.0,,RUR,Москва,2022-12-25T10:45:14+0300
Бухгалтер-экономист,40000.0,,RUR,Стерлитамак,2022-12-25T11:12:07+0300
UX/UI дизайнер-стажер,15000.0,,RUR,Новокузнецк,2022-12-25T10:51:29+0300
Бариста,20000.0,40000.0,KGS,Бишкек,2022-12-25T06:12:56+0300
Водитель - оператор фотовидеофиксации,48000.0,51000.0,RUR,Санкт-Петербург,2022-12-25T11:19:37+0300
Специалист по страхованию (удаленно),23000.0,,RUR,Брянск,2022-12-25T10:55:08+0300
Специалист по страхованию (удаленно),23000.0,,RUR,Воронеж,2022-12-25T11:57:33+0300
Помощник следователя,35000.0,50000.0,RUR,Нижний Новгород,2022-12-25T09:21:45+0300
